"Fotografin","Architekt, Künstler","Bezeichnung Gebäude/Ort","Ortsangabe, Straßenangabe","Systematik","Besitz","Dateiname","Anzahl Kontaktabzüge je Karteikarte","Datum der Inventarisierung","Creditline","Motiv Inhalt","Entstehungsjahr","original_filename","flickr_id","url_t","url_s","url_sq","url_m","url_o","pathalias","title","Breitengrad","Längengrad","Radius "
"Gisela Dutschmann (*1933)","Hermann Henselmann, Urheber/in (Roßla 1905 - 1995 Berlin)
Jörg Streitparth, Urheber/in (Weimar *1931)
Bernhard Geyer, Urheber/in (Weimar *1929)
 ","Haus des Lehrers mit Kongresshalle","Berlin, Mitte, Alexanderplatz/Alexanderstraße/Grunerstraße","Schwarzweißfotografie","Berlinische Galerie, Landesmuseum für Moderne Kunst, Fotografie und Architektur
Alte Jakobstraße 124-128
10969 Berlin","149739.jpg",7,"02/01/2005","Übernahme aus Beständen der Magistratsverwaltung für Stadtentwicklung, Wohnen und Verkehr Berlin [Ost] über die Senatsverwaltung für Bau- und Wohnungswesen Berlin","Neubauten
Plattenbau QP
Wohnhäuser in Staffelung
Kongresshalle
Haus des Lehrers
Hochhaus
Verwaltungsgebäude
Wandbild von Walter Womacka
Kunst am Bau
Fahnen
Straßenbahn
Grünfläche
Draufsicht",1965,"149739.jpg",13561722064,"https://farm3.staticflickr.com/2887/13561722064_e9be56c438_t.jpg","https://farm3.staticflickr.com/2887/13561722064_e9be56c438_m.jpg","https://farm3.staticflickr.com/2887/13561722064_e9be56c438_s.jpg","https://farm3.staticflickr.com/2887/13561722064_e9be56c438.jpg","https://farm3.staticflickr.com/2887/13561722064_4dfee8c828_o.jpg","okfde",149739,"52.521036","13.416283",50
"Gisela Dutschmann (*1933)","Hermann Henselmann, Urheber/in (Roßla 1905 - 1995 Berlin)
Jörg Streitparth, Urheber/in (Weimar *1931)
Bernhard Geyer, Urheber/in (Weimar *1929)
 ","Kongresshalle","Berlin, Mitte, Alexanderplatz/Alexanderstraße/Grunerstraße","Schwarzweißfotografie","Berlinische Galerie, Landesmuseum für Moderne Kunst, Fotografie und Architektur
Alte Jakobstraße 124-128
10969 Berlin","149741.jpg",4,"02/01/2005","Übernahme aus Beständen der Magistratsverwaltung für Stadtentwicklung, Wohnen und Verkehr Berlin [Ost] über die Senatsverwaltung für Bau- und Wohnungswesen Berlin","Neubauten
Kongresshalle
Fahnen
Schaukasten",1965,"149741.jpg",13561716324,"https://farm8.staticflickr.com/7027/13561716324_90737c80fa_t.jpg","https://farm8.staticflickr.com/7027/13561716324_90737c80fa_m.jpg","https://farm8.staticflickr.com/7027/13561716324_90737c80fa_s.jpg","https://farm8.staticflickr.com/7027/13561716324_90737c80fa.jpg","https://farm8.staticflickr.com/7027/13561716324_bf715e2975_o.jpg","okfde",149741,"52.520672","13.416519",25
"Gisela Dutschmann (*1933)","Hermann Henselmann, Urheber/in (Roßla 1905 - 1995 Berlin)
Jörg Streitparth, Urheber/in (Weimar *1931)
Bernhard Geyer, Urheber/in (Weimar *1929)
 ","Haus des Lehrers","Berlin, Mitte, Alexanderplatz/Alexanderstraße/Grunerstraße","Repro","Berlinische Galerie, Landesmuseum für Moderne Kunst, Fotografie und Architektur
Alte Jakobstraße 124-128
10969 Berlin","149746.jpg",4,"02/01/2005","Übernahme aus Beständen der Magistratsverwaltung für Stadtentwicklung, Wohnen und Verkehr Berlin [Ost] über die Senatsverwaltung für Bau- und Wohnungswesen Berlin","Neubauten
Plattenbau QP
Wohnhaus
Kongresshalle und Haus des Lehrers in Ausführung
Hochhaus
Verwaltungsgebäude
Wandbild von Walter Womacka noch nicht montiert
Kunst am Bau
Litfaßsäule
Baustelle
Erdarbeiten
Draufsicht",1964,"149746.jpg",13561420363,"https://farm4.staticflickr.com/3791/13561420363_0f9ea3d784_t.jpg","https://farm4.staticflickr.com/3791/13561420363_0f9ea3d784_m.jpg","https://farm4.staticflickr.com/3791/13561420363_0f9ea3d784_s.jpg","https://farm4.staticflickr.com/3791/13561420363_0f9ea3d784.jpg","https://farm4.staticflickr.com/3791/13561420363_26143af106_o.jpg","okfde",149746,"52.521277","13.416339",25
"Gisela Dutschmann (*1933)","Hermann Henselmann, Urheber/in (Roßla 1905 - 1995 Berlin)
Jörg Streitparth, Urheber/in (Weimar *1931)
Bernhard Geyer, Urheber/in (Weimar *1929)
 ","Haus des Lehrers","Berlin, Mitte, Alexanderplatz/Karl-Marx-Allee/Grunerstraße","Schwarzweißfotografie","Berlinische Galerie, Landesmuseum für Moderne Kunst, Fotografie und Architektur
Alte Jakobstraße 124-128
10969 Berlin","149748.jpg",3,"02/01/2005","Übernahme aus Beständen der Magistratsverwaltung für Stadtentwicklung, Wohnen und Verkehr Berlin [Ost] über die Senatsverwaltung für Bau- und Wohnungswesen Berlin","Neubauten
Plattenbau QP
Wohnhaus
Kongresshalle und Haus des Lehrers in Ausführung, Rückseite
Hochhaus
Verwaltungsgebäude
Wandbild von Walter Womacka noch nicht montiert
Kunst am Bau
Baustelle
Erdarbeiten
Aufstelltafel: ""Aufbauzentrum Berlin""
Propaganda",1964,"149748.jpg",13561706284,"https://farm4.staticflickr.com/3702/13561706284_d270100643_t.jpg","https://farm4.staticflickr.com/3702/13561706284_d270100643_m.jpg","https://farm4.staticflickr.com/3702/13561706284_d270100643_s.jpg","https://farm4.staticflickr.com/3702/13561706284_d270100643.jpg","https://farm4.staticflickr.com/3702/13561706284_37558b0a10_o.jpg","okfde",149748,"52.521277","13.416339",25
"Gisela Dutschmann (*1933)","Hermann Henselmann, Urheber/in (Roßla 1905 - 1995 Berlin)
Jörg Streitparth, Urheber/in (Weimar *1931)
Bernhard Geyer, Urheber/in (Weimar *1929)
 ","Haus des Lehrers mit Kongresshalle","Berlin, Mitte, Alexanderplatz/Alexanderstraße","Schwarzweißfotografie","Berlinische Galerie, Landesmuseum für Moderne Kunst, Fotografie und Architektur
Alte Jakobstraße 124-128
10969 Berlin","149812.jpg",4,"02/03/2005","Übernahme aus Beständen der Magistratsverwaltung für Stadtentwicklung, Wohnen und Verkehr Berlin [Ost] über die Senatsverwaltung für Bau- und Wohnungswesen Berlin","Neubauten
Plattenbau QP
Wohnhaus
Kongresshalle in Ausführung
Haus des Lehrers fertig
Hochhaus
Verwaltungsgebäude
Wandbild von Walter Womacka
Kunst am Bau
Straßenlaterne
Schaukasten",1964,"149812.jpg",13561342945,"https://farm3.staticflickr.com/2877/13561342945_745725e5ac_t.jpg","https://farm3.staticflickr.com/2877/13561342945_745725e5ac_m.jpg","https://farm3.staticflickr.com/2877/13561342945_745725e5ac_s.jpg","https://farm3.staticflickr.com/2877/13561342945_745725e5ac.jpg","https://farm3.staticflickr.com/2877/13561342945_1602954dd7_o.jpg","okfde",149812,"52.521036","13.416283",50
"Gisela Dutschmann (*1933)","Hermann Henselmann, Urheber/in (Roßla 1905 - 1995 Berlin)
Jörg Streitparth, Urheber/in (Weimar *1931)
Bernhard Geyer, Urheber/in (Weimar *1929)
 ","Haus des Lehrers mit Kongresshalle","Berlin, Mitte, Alexanderplatz/Alexanderstraße","Schwarzweißfotografie","Berlinische Galerie, Landesmuseum für Moderne Kunst, Fotografie und Architektur
Alte Jakobstraße 124-128
10969 Berlin","149815.jpg",8,"02/03/2005","Übernahme aus Beständen der Magistratsverwaltung für Stadtentwicklung, Wohnen und Verkehr Berlin [Ost] über die Senatsverwaltung für Bau- und Wohnungswesen Berlin","Neubauten
Plattenbau QP
Wohnhaus
Kongresshalle
Haus des Lehrers
Hochhaus
Verwaltungsgebäude
Wandbild von Walter Womacka
Kunst am Bau
Schaukasten
Springbrunnen
Wasserbecken
Großmodell eines Radios
Grünfläche
PKWs
Historische Straßenlaterne
Fahnen
U-Bahnhof Alexanderplatz",1965,"149815.jpg",13561336885,"https://farm8.staticflickr.com/7105/13561336885_6cf2f6ddbd_t.jpg","https://farm8.staticflickr.com/7105/13561336885_6cf2f6ddbd_m.jpg","https://farm8.staticflickr.com/7105/13561336885_6cf2f6ddbd_s.jpg","https://farm8.staticflickr.com/7105/13561336885_6cf2f6ddbd.jpg","https://farm8.staticflickr.com/7105/13561336885_1395417c68_o.jpg","okfde",149815,"52.521036","13.416283",50
"Gisela Dutschmann (*1933)","Hermann Henselmann, Urheber/in (Roßla 1905 - 1995 Berlin)
Jörg Streitparth, Urheber/in (Weimar *1931)
Bernhard Geyer, Urheber/in (Weimar *1929)
 ","Haus des Lehrers","Berlin, Mitte, Alexanderplatz","Schwarzweißfotografie","Berlinische Galerie, Landesmuseum für Moderne Kunst, Fotografie und Architektur
Alte Jakobstraße 124-128
10969 Berlin","149858.jpg",2,"02/07/2005","Übernahme aus Beständen der Magistratsverwaltung für Stadtentwicklung, Wohnen und Verkehr Berlin [Ost] über die Senatsverwaltung für Bau- und Wohnungswesen Berlin","Haus des Lehrers in Ausführung
Hochhaus
Verwaltungsgebäude
Baugerüst
Baustelle
Stahlbetonskelett
Turmdrehkran
Straßenlaternen
Litfaßsäule mit Fahnen
Propaganda
Passanten",1963,"149858.jpg",13561397283,"https://farm8.staticflickr.com/7045/13561397283_341e90bd33_t.jpg","https://farm8.staticflickr.com/7045/13561397283_341e90bd33_m.jpg","https://farm8.staticflickr.com/7045/13561397283_341e90bd33_s.jpg","https://farm8.staticflickr.com/7045/13561397283_341e90bd33.jpg","https://farm8.staticflickr.com/7045/13561397283_732f7f207d_o.jpg","okfde",149858,"52.521277","13.416339",25
"Gisela Dutschmann (*1933)","Hermann Henselmann, Urheber/in (Roßla 1905 - 1995 Berlin)
Jörg Streitparth, Urheber/in (Weimar *1931)
Bernhard Geyer, Urheber/in (Weimar *1929)
 ","Haus des Lehrers mit Kongresshalle","Berlin, Mitte, Alexanderplatz/Alexanderstraße/Grunerstraße","Schwarzweißfotografie","Berlinische Galerie, Landesmuseum für Moderne Kunst, Fotografie und Architektur
Alte Jakobstraße 124-128
10969 Berlin","149866.jpg",4,"02/07/2005","Übernahme aus Beständen der Magistratsverwaltung für Stadtentwicklung, Wohnen und Verkehr Berlin [Ost] über die Senatsverwaltung für Bau- und Wohnungswesen Berlin","Neubauten
Plattenbau QP
Haus des Lehrers und Kongresshalle
Hochhaus
Wandbild von Walter Womacka
Kunst am Bau
Verwaltungsgebäude
Draufsicht
Grünflächen",1965,"149866.jpg",13561684254,"https://farm4.staticflickr.com/3822/13561684254_584b47e7aa_t.jpg","https://farm4.staticflickr.com/3822/13561684254_584b47e7aa_m.jpg","https://farm4.staticflickr.com/3822/13561684254_584b47e7aa_s.jpg","https://farm4.staticflickr.com/3822/13561684254_584b47e7aa.jpg","https://farm4.staticflickr.com/3822/13561684254_9840a0017a_o.jpg","okfde",149866,"52.521036","13.416283",50
"Gisela Dutschmann (*1933)","Hermann Henselmann, Urheber/in (Roßla 1905 - 1995 Berlin)
Jörg Streitparth, Urheber/in (Weimar *1931)
Bernhard Geyer, Urheber/in (Weimar *1929)
Josef Kaiser, Urheber/in (Cilli/Slowenien 1910 - 1991 Altenberg)
Günter Kunert, Urheber/in (Gradlitz/Traute","Alexanderplatz","Berlin, Mitte, Alexanderplatz/Alexanderstraße/Grunerstraße","Schwarzweißfotografie","Berlinische Galerie, Landesmuseum für Moderne Kunst, Fotografie und Architektur
Alte Jakobstraße 124-128
10969 Berlin","149887.jpg",12,"02/08/2005","Übernahme aus Beständen der Magistratsverwaltung für Stadtentwicklung, Wohnen und Verkehr Berlin [Ost] über die Senatsverwaltung für Bau- und Wohnungswesen Berlin","Neubauten
Plattenbau QP
Haus des Lehrers und Kongresshalle (Architekten: Hermann Henselmann, Jörg Streitparth, Bernhard Geyer)
Haus des Reisens (Architekten: Kollektiv Roland Korn)
Hotel Stadt Berlin (Architekten: Kollektiv Roland Korn)
Centrum-Warenhaus (Architekten: Josef Kaiser, Günter Kuhnert)
Hochhäuser
Verwaltungsgebäude
Wandbild von Walter Womacka (siehe auch andere Einträge zum Haus des Lehrers) 
Kunst am Bau
Berolinahaus (Architekt: Peter Behrens)
S-Bahnhof Alexanderplatz
Brunnen der Völkerfreundschaft von Walter Womacka
Springbrunnen
Wasserbecken
Blumenkübel
Straßenlaterne
Gaststätte ""Zillestuben""
Passanten",1971,"149887.jpg",13561320665,"https://farm3.staticflickr.com/2830/13561320665_b08d10b0bc_t.jpg","https://farm3.staticflickr.com/2830/13561320665_b08d10b0bc_m.jpg","https://farm3.staticflickr.com/2830/13561320665_b08d10b0bc_s.jpg","https://farm3.staticflickr.com/2830/13561320665_b08d10b0bc.jpg","https://farm3.staticflickr.com/2830/13561320665_3dc924739e_o.jpg","okfde",149887,"52.521917","13.413206",50
"Gisela Dutschmann (*1933)","Hermann Henselmann, Urheber/in (Roßla 1905 - 1995 Berlin)
Jörg Streitparth, Urheber/in (Weimar *1931)
Bernhard Geyer, Urheber/in (Weimar *1929)
 ","Blick vom Hotel","Berlin, Mitte, Alexanderplatz/Alexanderstraße/Grunerstraße/Karl-Marx-Allee, Hans-Beimler-Straße (ab 1995 Otto-Braun-Straße)","Schwarzweißfotografie","Berlinische Galerie, Landesmuseum für Moderne Kunst, Fotografie und Architektur
Alte Jakobstraße 124-128
10969 Berlin","149952.jpg",2,"02/08/2005","Übernahme aus Beständen der Magistratsverwaltung für Stadtentwicklung, Wohnen und Verkehr Berlin [Ost] über die Senatsverwaltung für Bau- und Wohnungswesen Berlin","Neubauten
Plattenbau,  teilweise QP und in gestaffelter Anordnung
Wohnhäuser
Haus des Lehrers und Kongresshalle
Hochhaus
Verwaltungsgebäude
Baustelle
Erdarbeiten
Straßenlaterne 
Draufsicht vom Hotel Stadt Berlin
Axiale Sicht in die Karl-Marx Allee und in die Alexanderstraße, sowie von der Grunerstraße in die Hans-Beimler Straße",1969,"149952.jpg",13561314695,"https://farm4.staticflickr.com/3776/13561314695_497540a67b_t.jpg","https://farm4.staticflickr.com/3776/13561314695_497540a67b_m.jpg","https://farm4.staticflickr.com/3776/13561314695_497540a67b_s.jpg","https://farm4.staticflickr.com/3776/13561314695_497540a67b.jpg","https://farm4.staticflickr.com/3776/13561314695_65ab850d65_o.jpg","okfde",149952,"52.522857","13.413287",50
"Gisela Dutschmann (*1933)","Hans-Joachim May, Urheber/in
Günter Andrich, Mitarbeiter/in
 ","S-Bahnhof Alexanderplatz","Berlin, Mitte, Alexanderplatz/Rathausstraße/Gontardstraße","Schwarzweißfotografie","Berlinische Galerie, Landesmuseum für Moderne Kunst, Fotografie und Architektur
Alte Jakobstraße 124-128
10969 Berlin","150090.jpg",1,"02/14/2005","Übernahme aus Beständen der Magistratsverwaltung für Stadtentwicklung, Wohnen und Verkehr Berlin [Ost] über die Senatsverwaltung für Bau- und Wohnungswesen Berlin","S-Bahnhof Alexanderplatz nach Rekonstruktion  (Architekten: Hans-Joachim May, Günter Andrich)
Bahnbrücke
Berolinahaus (Architekt: Peter Behrens)
Litfaßsäule
Baustelle
Straßenlaterne
PKW",1964,"150090.jpg",13561376563,"https://farm8.staticflickr.com/7022/13561376563_9c84cc49a3_t.jpg","https://farm8.staticflickr.com/7022/13561376563_9c84cc49a3_m.jpg","https://farm8.staticflickr.com/7022/13561376563_9c84cc49a3_s.jpg","https://farm8.staticflickr.com/7022/13561376563_9c84cc49a3.jpg","https://farm8.staticflickr.com/7022/13561376563_48ab611528_o.jpg","okfde",150090,"52.52164","13.411355",25
"Gisela Dutschmann (*1933)","Karl-Ernst Swora, Urheber/in (Altrauthen *1933)
Heinz Mehlan, Urheber/in (Berlin 1926 - 1987 Berlin/DDR)
Roland Korn, Urheber/in (Saalfeld/Saale *1930)
 ","Alexanderplatz","Berlin, Mitte, Alexanderplatz/Karl-Liebknecht-Straße","Schwarzweißfotografie","Berlinische Galerie, Landesmuseum für Moderne Kunst, Fotografie und Architektur
Alte Jakobstraße 124-128
10969 Berlin","150129.jpg",9,"02/15/2005","Übernahme aus Beständen der Magistratsverwaltung für Stadtentwicklung, Wohnen und Verkehr Berlin [Ost] über die Senatsverwaltung für Bau- und Wohnungswesen Berlin","Haus des Reisens in Ausführung (Architekt: Kollektiv Roland Korn)
Hochhaus
Haus des Berliner Verlags in Ausführung (Architekt: Kollektiv Karl-Ernst Swora)
Haus der Elektroindustrie (Architekt: Kollektiv Heinz Mehlan) 
Stahlbetonskelett
Baustelle
Turmdrehkräne
Verwaltungsgebäude
Läden
Parkplatz
Grünanlagen
PKWs Mercedes und Tatra
Straßenlaterne

Nummerneintrag: 13/71",1971,"150129.jpg",13561303685,"https://farm8.staticflickr.com/7002/13561303685_e6a5fdb240_t.jpg","https://farm8.staticflickr.com/7002/13561303685_e6a5fdb240_m.jpg","https://farm8.staticflickr.com/7002/13561303685_e6a5fdb240_s.jpg","https://farm8.staticflickr.com/7002/13561303685_e6a5fdb240.jpg","https://farm8.staticflickr.com/7002/13561303685_d5c4b55c28_o.jpg","okfde",150129,"52.521917","13.413206",50
"Gisela Dutschmann (*1933)","Roland Korn, Urheber/in (Saalfeld/Saale *1930)
 ","Alexanderplatz","Berlin, Mitte, Alexanderplatz","Schwarzweißfotografie","Berlinische Galerie, Landesmuseum für Moderne Kunst, Fotografie und Architektur
Alte Jakobstraße 124-128
10969 Berlin","150130.jpg",8,"02/15/2005","Übernahme aus Beständen der Magistratsverwaltung für Stadtentwicklung, Wohnen und Verkehr Berlin [Ost] über die Senatsverwaltung für Bau- und Wohnungswesen Berlin","Haus des Reisens in Ausführung und Hotel Stadt Berlin (Architekt: Kollektiv Roland Korn)
Hochhaus
Fernsehturm (Architekten: Hermann Henselmann, Kollektiv Fritz Dieter) 
Stahlbetonskelett
Gaststätte Cafeteria Zillestube
Baustelle
Turmdrehkran
Verwaltungsgebäude
Läden
Parkplatz
Grünanlagen
Blumenkübel
PKWs Wolga GAZ
Straßenlaterne",1970,"150130.jpg",13561658214,"https://farm3.staticflickr.com/2936/13561658214_c78afd7667_t.jpg","https://farm3.staticflickr.com/2936/13561658214_c78afd7667_m.jpg","https://farm3.staticflickr.com/2936/13561658214_c78afd7667_s.jpg","https://farm3.staticflickr.com/2936/13561658214_c78afd7667.jpg","https://farm3.staticflickr.com/2936/13561658214_e087ca2c2b_o.jpg","okfde",150130,"52.521917","13.413206",50
"Gisela Dutschmann (*1933)","Heinz Mehlan, Urheber/in (Berlin 1926 - 1987 Berlin/DDR)
Roland Korn, Urheber/in (Saalfeld/Saale *1930)
Erich John, Urheber/in
 ","Alexanderplatz","Berlin, Mitte, Alexanderplatz/Karl-Liebknecht-Straße","Schwarzweißfotografie","Berlinische Galerie, Landesmuseum für Moderne Kunst, Fotografie und Architektur
Alte Jakobstraße 124-128
10969 Berlin","150137.jpg",9,"02/15/2005","Übernahme aus Beständen der Magistratsverwaltung für Stadtentwicklung, Wohnen und Verkehr Berlin [Ost] über die Senatsverwaltung für Bau- und Wohnungswesen Berlin","Blick vom Fernsehturm
Draufsicht
Alexanderhaus und Berolinahaus (Architekt: Peter Behrens)
Hochhaus
Haus des Reisens in Ausführung (Architekt: Kollektiv Roland Korn)
Haus der Elektroindustrie (Architekt: Kollektiv Heinz Mehlan) 
Stahlbetonskelett
Weltzeituhr (Gestalter: Erich John)
Baustelle
Turmdrehkran
Verwaltungsgebäude
Läden
Parkplatz
Grünanlagen",1970,"150137.jpg",13561653814,"https://farm8.staticflickr.com/7207/13561653814_01f0828b49_t.jpg","https://farm8.staticflickr.com/7207/13561653814_01f0828b49_m.jpg","https://farm8.staticflickr.com/7207/13561653814_01f0828b49_s.jpg","https://farm8.staticflickr.com/7207/13561653814_01f0828b49.jpg","https://farm8.staticflickr.com/7207/13561653814_17f2989c41_o.jpg","okfde",150137,"52.521917","13.413206",50
"Gisela Dutschmann (*1933)","Heinz Mehlan, Urheber/in (Berlin 1926 - 1987 Berlin/DDR)
Roland Korn, Mitarbeiter/in (Saalfeld/Saale *1930)
 ","Alexanderplatz, Haus des Reisens","Berlin, Mitte, Alexanderplatz/Karl-Liebknecht-Straße","Schwarzweißfotografie","Berlinische Galerie, Landesmuseum für Moderne Kunst, Fotografie und Architektur
Alte Jakobstraße 124-128
10969 Berlin","150150.jpg",2,"02/15/2005","Übernahme aus Beständen der Magistratsverwaltung für Stadtentwicklung, Wohnen und Verkehr Berlin [Ost] über die Senatsverwaltung für Bau- und Wohnungswesen Berlin","Haus des Reisens (Architekt: Kollektiv Roland Korn)
Hochhaus
Haus der Elektroindustrie (Architekt: Kollektiv Heinz Mehlan)
Verwaltungsgebäude
Parkplatz
PKWs Trabant, VW Käfer",1971,"150150.jpg",13561290515,"https://farm4.staticflickr.com/3710/13561290515_26923ac6f4_t.jpg","https://farm4.staticflickr.com/3710/13561290515_26923ac6f4_m.jpg","https://farm4.staticflickr.com/3710/13561290515_26923ac6f4_s.jpg","https://farm4.staticflickr.com/3710/13561290515_26923ac6f4.jpg","https://farm4.staticflickr.com/3710/13561290515_d796ef9fe1_o.jpg","okfde",150150,"52.52304","13.416527",25
"Gisela Dutschmann (*1933)","Heinz Mehlan, Urheber/in (Berlin 1926 - 1987 Berlin/DDR)
Josef Kaiser, Urheber/in (Cilli/Slowenien 1910 - 1991 Altenberg)
Roland Korn, Urheber/in (Saalfeld/Saale *1930)
 ","Alexanderplatz","Berlin, Mitte, Alexanderplatz/Karl-Liebknecht-Straße","Schwarzweißfotografie","Berlinische Galerie, Landesmuseum für Moderne Kunst, Fotografie und Architektur
Alte Jakobstraße 124-128
10969 Berlin","150208.jpg",7,"02/17/2005","Übernahme aus Beständen der Magistratsverwaltung für Stadtentwicklung, Wohnen und Verkehr Berlin [Ost] über die Senatsverwaltung für Bau- und Wohnungswesen Berlin","Blick vom Fernsehturm
Draufsicht
Hotel Stadt Berlin (Architekt: Kollektiv Roland Korn)
Hochhaus
Neubau
Centrum-Warenhaus (Architekt: Kollektiv Josef Kaiser)
Berolinahaus (Architekt: Peter Behrens)
Haus der Elektroindustrie (Architekt: Kollektiv Heinz Mehlan) 
Verwaltungsgebäude
Läden
Baustelle
Erdarbeiten
Bauzaun
Turmdrehkräne
Ereignis
Menschenmenge",1969,"150208.jpg",13561351033,"https://farm4.staticflickr.com/3823/13561351033_7cf38f252f_t.jpg","https://farm4.staticflickr.com/3823/13561351033_7cf38f252f_m.jpg","https://farm4.staticflickr.com/3823/13561351033_7cf38f252f_s.jpg","https://farm4.staticflickr.com/3823/13561351033_7cf38f252f.jpg","https://farm4.staticflickr.com/3823/13561351033_236dbe698c_o.jpg","okfde",150208,"52.521917","13.413206",50
"Gisela Dutschmann (*1933)","Unbekannt
 ","Alexanderplatz","Berlin, Mitte, Alexanderplatz/Karl-Liebknecht-Straße","Schwarzweißfotografie","Berlinische Galerie, Landesmuseum für Moderne Kunst, Fotografie und Architektur
Alte Jakobstraße 124-128
10969 Berlin","150229.jpg",7,"02/17/2005","Übernahme aus Beständen der Magistratsverwaltung für Stadtentwicklung, Wohnen und Verkehr Berlin [Ost] über die Senatsverwaltung für Bau- und Wohnungswesen Berlin","Blick vom Fernsehturm
Draufsicht
Neubauten
Wohnhäuser
Hochhäuser
Haus der Elektroindustrie (Architekt: Kollektiv Heinz Mehlan) 
Haus des Reisens in Ausführung (Architekt: Kollektiv Roland Korn)
Verwaltungsgebäude
Läden
Gaststätte 
Cafeteria ""Zillestuben""
Baugerüst
Baustelle
Erdarbeiten
Passanten
Leuchtschrift: ""Elektrotechnik, Elektronik, Automation, VEM""
Werbung",1970,"150229.jpg",13561639214,"https://farm6.staticflickr.com/5502/13561639214_7bdfee3596_t.jpg","https://farm6.staticflickr.com/5502/13561639214_7bdfee3596_m.jpg","https://farm6.staticflickr.com/5502/13561639214_7bdfee3596_s.jpg","https://farm6.staticflickr.com/5502/13561639214_7bdfee3596.jpg","https://farm6.staticflickr.com/5502/13561639214_c91fe0e1fa_o.jpg","okfde",150229,"52.521917","13.413206",50
"Gisela Dutschmann (*1933)","Roland Korn, Urheber/in (Saalfeld/Saale *1930)
Josef Kaiser, Urheber/in (Cilli/Slowenien 1910 - 1991 Altenberg)
 ","Alexanderplatz","Berlin, Mitte, Alexanderplatz/Karl-Liebknecht-Straße","Schwarzweißfotografie","Berlinische Galerie, Landesmuseum für Moderne Kunst, Fotografie und Architektur
Alte Jakobstraße 124-128
10969 Berlin","150238.jpg",12,"02/21/2005","Übernahme aus Beständen der Magistratsverwaltung für Stadtentwicklung, Wohnen und Verkehr Berlin [Ost] über die Senatsverwaltung für Bau- und Wohnungswesen Berlin","Hochhaus
Hotel Stadt Berlin (Architekt: Kollektiv Roland Korn)
Neubau
Centrum-Warenhaus (Architekt: Kollektiv Josef Kaiser)
Fernsehturm (Architekten: Hermann Henselmann, Kollektiv Fritz Dieter.)
Straßenlaternen
Passanten",1971,"150238.jpg",13561276725,"https://farm8.staticflickr.com/7331/13561276725_cbbd31089f_t.jpg","https://farm8.staticflickr.com/7331/13561276725_cbbd31089f_m.jpg","https://farm8.staticflickr.com/7331/13561276725_cbbd31089f_s.jpg","https://farm8.staticflickr.com/7331/13561276725_cbbd31089f.jpg","https://farm8.staticflickr.com/7331/13561276725_d703d4a088_o.jpg","okfde",150238,"52.521917","13.413206",50
"Gisela Dutschmann (*1933)","Walter Womacka, Urheber/in (1925 - 2010 Berlin)
Josef Kaiser, Urheber/in (Cilli/Slowenien 1910 - 1991 Altenberg)
Roland Korn, Urheber/in (Saalfeld/Saale *1930)
 ","Alexanderplatz","Berlin, Mitte, Alexanderplatz","Schwarzweißfotografie","Berlinische Galerie, Landesmuseum für Moderne Kunst, Fotografie und Architektur
Alte Jakobstraße 124-128
10969 Berlin","150242.jpg",12,"02/21/2005","Übernahme aus Beständen der Magistratsverwaltung für Stadtentwicklung, Wohnen und Verkehr Berlin [Ost] über die Senatsverwaltung für Bau- und Wohnungswesen Berlin","Hotel Stadt Berlin (Architekt: Kollektiv Roland Korn)
Haus des Reisens (Architekt: Kollektiv Roland Korn) in Ausführung
Verwaltungsgebäude
Baustelle
Hochhaus
Neubau
Centrum-Warenhaus (Architekt: Kollektiv Josef Kaiser)
Brunnen der Völkerfreundschaft (Walter Womacka)
Kunst am Bau
Haus des Lehrers
Passanten",1971,"150242.jpg",13561272505,"https://farm4.staticflickr.com/3715/13561272505_b59bacb27f_t.jpg","https://farm4.staticflickr.com/3715/13561272505_b59bacb27f_m.jpg","https://farm4.staticflickr.com/3715/13561272505_b59bacb27f_s.jpg","https://farm4.staticflickr.com/3715/13561272505_b59bacb27f.jpg","https://farm4.staticflickr.com/3715/13561272505_81629c5df5_o.jpg","okfde",150242,"52.521917","13.413206",50
